ID,Gender,Age,Marital Status,Job,Employment Status,Your Phone Model,Your bank information,How many years you are using internet banking application,How many years you are using mobile banking application,Do you find mobile application user-friendly,Internet banking usage frequency,Mobile banking usage frequency,Credit card debt inquiry,Credit card debt payment,Credit card limit transactions,Create & delete virtual card,Virtual card limit transactions,An additional new card application,Opening a new account,Balance check,Loan transaction,Transfer money to previously transferred account.,Transfer money to new account.,Invoice payment (If it is automatic payment than choose once in a day),Government payments,GSM transactions,Rent payment,Lottery transactions,HGS / OGS transactions,Tax / penalty transactions,SGK transactions,Bill transactions,Salary payment,Investment account transactions,Foreign money exchange transactions,Gold transactions,Investment fund transactions,Stock transactions,Public offering operations,Repo transactions,Bond transactions,Instant stock exchange transactions,Consumer credit usage,My credit accounts,Applying for mortgage ,Applying for car loan,Findeks risk report,New card application,New account opening,Request status,Foreign exchange calculation,Loan calculation,Make an appointment at a bank branch,Donate transactions,View payment schedule,View bank campaigns,Mobile signature use,Communicating with the bank
184,Man,41-45,Married,Not working ,Private sector,LG G3,0,0-5,0-3,Yes,Several times in a month,Several times in a week,Once in a month,Several times in a month,Never,Never,Never,Never,Never,Several times in a month,Several times in a month,Several times in a month,Once in a month,Several times in a month,Once in a month,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Once in a month,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Once or several times a year,Once or several times a year,Never,Once or several times a year
185,Woman,25-30,Married,Not working ,Private sector,,0,0,0-3,Yes,Once in a week,Several times in a month,Several times in a week,Once in a month,Never,Never,Never,Never,Several times in a week,0,Several times in a week,Once in a month,Once or several times a year, Once in a day,Once in a month,Several times in a month,Once in a month,Never,Never,I Prefer Internet Banking,Never,0,Never,Never,Never,I Prefer Internet Banking,Once in a month,0,I Prefer Internet Banking,Never,Never,I Prefer Internet Banking,Never,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,Never,Never,Never,Never,Never,I Prefer Internet Banking,Never,Several times in a day,Once in a day,Once in a week,Several times in a month
186,Man,20-24,Married,Student,Not working ,Asus ZenFone Selfie,0,0-5,0-3,Yes,Once in a month,Once in a month,Once in a month,Once in a month,Once in a month,I Prefer Internet Banking,I Prefer Internet Banking,Never,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,Once in a month,Once in a month,Once in a month,Once in a month,Never,Once in a month,I Prefer Internet Banking,I Prefer Internet Banking,Never,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,Never,I Prefer Internet Banking,I Prefer Internet Banking,Never,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,Never,I Prefer Internet Banking,I Prefer Internet Banking,Once in a month,Once in a month,Once or several times a year
187,Woman,31-35,Single,Worker,Self-employed ,LG,0,Never,Never,NO,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,I Prefer Internet Banking,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Once or several times a year,Once or several times a year
188,Woman,20-24,Single,Student,Public institution ,Iphone ,Garanti,0-5,0-3,No,Once in a month,Once in a month,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
189,Woman,20-24,Single,Student,Not working ,Iphone ,Garanti,0-5,4+,Yes,Once in a month,Several times in a week,Once in a month,Once in a month,Once in a month,I Prefer Internet Banking,I Prefer Internet Banking,Never,Never,Once in a month,Once in a month,I Prefer Internet Banking,I Prefer Internet Banking,Several times in a day,Never,I Prefer Internet Banking,I Prefer Internet Banking,Never,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,Never,I Prefer Internet Banking
190,Woman,20-24,Single,Not working ,Self-employed ,Iphone ,Isbank,0-5,0-3,No,Several times in a month,Several times in a month,I Prefer Internet Banking,I Prefer Internet Banking,Never,I Prefer Internet Banking,I Prefer Internet Banking,Never,Never,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,Never,I Prefer Internet Banking,Never,Never,Never,Never,Never,Never,Never,I Prefer Internet Banking,I Prefer Internet Banking,Never,Never,Never,Never,Never,Never,Never,I Prefer Internet Banking,I Prefer Internet Banking,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,I Prefer Internet Banking,Never,Never
191,Man,20-24,Single,Student,Not working ,LG G3,Isbank,0-5,0-3,Yes,Once or several times a year,Several times in a day,Several times in a month,Never,Several times in a month,Never,Never,Never,Never,Several times in a week,Never,Several times in a month,Several times in a month,Once or several times a year,Once or several times a year,Once or several times a year,Never,Once or several times a year,Never,Never,Never,Never,Never,Once or several times a year,Once or several times a year,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Once or several times a year,Once or several times a year,Never,Never,Once or several times a year,Once or several times a year,Once or several times a year,Several times in a day,Once or several times a year
192,Woman,20-24,Single,Student,Not working ,Iphone ,Garanti,Never,0-3,Yes,Never,Several times in a month,Once in a month,Once in a month,I Prefer Internet Banking,Once in a month,Once in a month,Once in a month,Once in a month,Once in a month,Once in a month,Once in a month,Once in a month,Once in a month,Once in a month,Once in a month,Once in a month,Once in a month,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
193,Man,25-30,Single,Information Engineer,Private sector,Lenovo K5 Vibe,Ziraat,15+,0-3,No,Once in a week,Once in a week,I Prefer Internet Banking,Never,I Prefer Internet Banking,Never,Never,I Prefer Internet Banking,I Prefer Internet Banking,Several times in a month,Never,Several times in a month,Once or several times a year,Once or several times a year,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,Never,Never,Never,Never,I Prefer Internet Banking,Never,Several times in a month,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,Never,Never,Never,Once in a month,Never,Never
